place_name,description,category,city,estimated_cost,popular_activities,best_season,duration_days
Destination 31,Beautiful adventure spot located in Namche Bazaar. Known for temple visit.,Adventure,Namche Bazaar,3952,Temple Visit,October to December,3
Destination 32,Beautiful wildlife spot located in Tansen. Known for paragliding.,Wildlife,Tansen,3496,Paragliding,October to December,3
Destination 33,Beautiful wildlife spot located in Kathmandu. Known for temple visit.,Wildlife,Kathmandu,4987,Temple Visit,March to May,4
Destination 34,Beautiful nature spot located in Bhaktapur. Known for temple visit.,Nature,Bhaktapur,2475,Temple Visit,March to May,2
Destination 35,Beautiful cultural spot located in Bhaktapur. Known for trekking.,Cultural,Bhaktapur,2310,Trekking,September to November,3
Destination 36,Beautiful cultural spot located in Jomsom. Known for temple visit.,Cultural,Jomsom,3072,Temple Visit,October to December,3
Destination 37,Beautiful religious spot located in Namche Bazaar. Known for sightseeing.,Religious,Namche Bazaar,2537,Sightseeing,March to May,2
Destination 38,Beautiful cultural spot located in Bhaktapur. Known for trekking.,Cultural,Bhaktapur,2544,Trekking,October to December,4
Destination 39,Beautiful religious spot located in Lalitpur. Known for trekking.,Religious,Lalitpur,2863,Trekking,September to November,3
Destination 40,Beautiful nature spot located in Tansen. Known for rafting.,Nature,Tansen,4628,Rafting,October to December,4
Destination 41,Beautiful religious spot located in Bhaktapur. Known for hiking.,Religious,Bhaktapur,3593,Hiking,October to December,3
Destination 42,Beautiful cultural spot located in Pokhara. Known for hiking.,Cultural,Pokhara,2641,Hiking,October to December,1
Destination 43,Beautiful adventure spot located in Bandipur. Known for photography.,Adventure,Bandipur,4495,Photography,March to May,2
Destination 44,Beautiful nature spot located in Namche Bazaar. Known for photography.,Nature,Namche Bazaar,4868,Photography,October to December,2
Destination 45,Beautiful cultural spot located in Tansen. Known for temple visit.,Cultural,Tansen,2519,Temple Visit,October to December,4
Destination 46,Beautiful adventure spot located in Jomsom. Known for trekking.,Adventure,Jomsom,3693,Trekking,September to November,4
Destination 47,Beautiful wildlife spot located in Tansen. Known for hiking.,Wildlife,Tansen,1869,Hiking,March to May,1
Destination 48,Beautiful wildlife spot located in Tansen. Known for photography.,Wildlife,Tansen,3082,Photography,October to December,1
Destination 49,Beautiful cultural spot located in Pokhara. Known for rafting.,Cultural,Pokhara,3241,Rafting,October to December,4
Destination 50,Beautiful religious spot located in Namche Bazaar. Known for rafting.,Religious,Namche Bazaar,2841,Rafting,October to December,3
Destination 50,Beautiful religious spot located in Namche Bazaar. Known for rafting.,Religious,Namche Bazaar,2841,Rafting,October to December,3
Destination 51,"A wildlife experience in the scenic area of Tansen, famous for temple visit.",Wildlife,Tansen,4247,Temple Visit,October to December,2
Destination 52,"A nature experience in the scenic area of Bandipur, famous for paragliding.",Nature,Bandipur,4740,Paragliding,September to November,4
Destination 53,"A cultural experience in the scenic area of Lalitpur, famous for photography.",Cultural,Lalitpur,4938,Photography,October to December,1
Destination 54,"A wildlife experience in the scenic area of Dhulikhel, famous for hiking.",Wildlife,Dhulikhel,5037,Hiking,October to December,3
Destination 55,"A nature experience in the scenic area of Bhaktapur, famous for photography.",Nature,Bhaktapur,2793,Photography,October to December,1
Destination 56,"A nature experience in the scenic area of Kathmandu, famous for sightseeing.",Nature,Kathmandu,2022,Sightseeing,October to December,1
Destination 57,"A wildlife experience in the scenic area of Gorkha, famous for sightseeing.",Wildlife,Gorkha,3372,Sightseeing,October to December,3
Destination 58,"A religious experience in the scenic area of Jomsom, famous for temple visit.",Religious,Jomsom,3238,Temple Visit,October to December,2
Destination 59,"A religious experience in the scenic area of Dhulikhel, famous for temple visit.",Religious,Dhulikhel,2851,Temple Visit,September to November,2
Destination 60,"A nature experience in the scenic area of Tansen, famous for temple visit.",Nature,Tansen,2214,Temple Visit,September to November,2
Destination 61,"A wildlife experience in the scenic area of Namche Bazaar, famous for rafting.",Wildlife,Namche Bazaar,2243,Rafting,April to June,4
Destination 62,"A wildlife experience in the scenic area of Gorkha, famous for trekking.",Wildlife,Gorkha,1247,Trekking,September to November,2
Destination 63,"A cultural experience in the scenic area of Namche Bazaar, famous for photography.",Cultural,Namche Bazaar,1599,Photography,April to June,1
Destination 64,"A religious experience in the scenic area of Kathmandu, famous for temple visit.",Religious,Kathmandu,4228,Temple Visit,October to December,1
Destination 65,"A cultural experience in the scenic area of Bandipur, famous for sightseeing.",Cultural,Bandipur,1903,Sightseeing,October to December,2
Destination 66,"A cultural experience in the scenic area of Pokhara, famous for sightseeing.",Cultural,Pokhara,3504,Sightseeing,September to November,1
Destination 67,"A nature experience in the scenic area of Tansen, famous for hiking.",Nature,Tansen,5287,Hiking,September to November,3
Destination 68,"A nature experience in the scenic area of Bandipur, famous for hiking.",Nature,Bandipur,4422,Hiking,September to November,2
Destination 69,"A adventure experience in the scenic area of Bandipur, famous for rafting.",Adventure,Bandipur,4753,Rafting,October to December,3
Destination 70,"A religious experience in the scenic area of Bhaktapur, famous for paragliding.",Religious,Bhaktapur,1928,Paragliding,October to December,4
Destination 71,"A adventure experience in the scenic area of Lalitpur, famous for sightseeing.",Adventure,Lalitpur,4774,Sightseeing,September to November,1
Destination 72,"A nature experience in the scenic area of Dhulikhel, famous for temple visit.",Nature,Dhulikhel,2026,Temple Visit,October to December,3
Destination 73,"A religious experience in the scenic area of Kathmandu, famous for sightseeing.",Religious,Kathmandu,1258,Sightseeing,September to November,2
Destination 74,"A wildlife experience in the scenic area of Tansen, famous for hiking.",Wildlife,Tansen,3238,Hiking,April to June,3
Destination 75,"A cultural experience in the scenic area of Bandipur, famous for sightseeing.",Cultural,Bandipur,3260,Sightseeing,April to June,3
Destination 76,"A nature experience in the scenic area of Tansen, famous for photography.",Nature,Tansen,2960,Photography,October to December,4
Destination 77,"A cultural experience in the scenic area of Gorkha, famous for sightseeing.",Cultural,Gorkha,4834,Sightseeing,April to June,4
Destination 78,"A adventure experience in the scenic area of Dhulikhel, famous for temple visit.",Adventure,Dhulikhel,5033,Temple Visit,April to June,4
Destination 79,"A wildlife experience in the scenic area of Bandipur, famous for sightseeing.",Wildlife,Bandipur,4111,Sightseeing,April to June,4
Destination 80,"A religious experience in the scenic area of Jomsom, famous for photography.",Religious,Jomsom,4356,Photography,September to November,4
Destination 81,"A cultural experience in the scenic area of Kathmandu, famous for photography.",Cultural,Kathmandu,2776,Photography,October to December,1
Destination 82,"A cultural experience in the scenic area of Bhaktapur, famous for trekking.",Cultural,Bhaktapur,3195,Trekking,September to November,4
Destination 83,"A cultural experience in the scenic area of Kathmandu, famous for temple visit.",Cultural,Kathmandu,1891,Temple Visit,April to June,2
Destination 84,"A religious experience in the scenic area of Gorkha, famous for paragliding.",Religious,Gorkha,3819,Paragliding,April to June,4
Destination 85,"A religious experience in the scenic area of Bhaktapur, famous for photography.",Religious,Bhaktapur,2469,Photography,April to June,1
Destination 86,"A nature experience in the scenic area of Namche Bazaar, famous for rafting.",Nature,Namche Bazaar,4069,Rafting,October to December,1
Destination 87,"A religious experience in the scenic area of Bandipur, famous for paragliding.",Religious,Bandipur,3004,Paragliding,April to June,2
Destination 88,"A adventure experience in the scenic area of Dhulikhel, famous for temple visit.",Adventure,Dhulikhel,2227,Temple Visit,April to June,4
Destination 89,"A wildlife experience in the scenic area of Pokhara, famous for trekking.",Wildlife,Pokhara,1465,Trekking,October to December,4
Destination 90,"A religious experience in the scenic area of Namche Bazaar, famous for hiking.",Religious,Namche Bazaar,4317,Hiking,October to December,2
Destination 91,"A adventure experience in the scenic area of Namche Bazaar, famous for temple visit.",Adventure,Namche Bazaar,4112,Temple Visit,April to June,3
Destination 92,"A nature experience in the scenic area of Pokhara, famous for hiking.",Nature,Pokhara,4166,Hiking,October to December,3
Destination 93,"A adventure experience in the scenic area of Jomsom, famous for trekking.",Adventure,Jomsom,4121,Trekking,October to December,3
Destination 94,"A wildlife experience in the scenic area of Bandipur, famous for photography.",Wildlife,Bandipur,3440,Photography,October to December,1
Destination 95,"A adventure experience in the scenic area of Kathmandu, famous for photography.",Adventure,Kathmandu,1838,Photography,September to November,2
Destination 96,"A cultural experience in the scenic area of Pokhara, famous for rafting.",Cultural,Pokhara,4116,Rafting,October to December,2
Destination 97,"A wildlife experience in the scenic area of Bhaktapur, famous for photography.",Wildlife,Bhaktapur,4982,Photography,April to June,3
Destination 98,"A religious experience in the scenic area of Bhaktapur, famous for temple visit.",Religious,Bhaktapur,1214,Temple Visit,April to June,4
Destination 99,"A nature experience in the scenic area of Dhulikhel, famous for temple visit.",Nature,Dhulikhel,5344,Temple Visit,September to November,3
Destination 100,"A cultural experience in the scenic area of Namche Bazaar, famous for paragliding.",Cultural,Namche Bazaar,2395,Paragliding,April to June,2
Destination 100,"Serene hilltop town known for panoramic sunrise views.",Nature,Pokhara,3000,"Hiking, Photography",March to May,3
Destination 101,"Historic city famous for centuries-old temples and festivals.",Cultural,Bhaktapur,1800,"Sightseeing, Festivals",October to December,2
Destination 102,"Remote village with traditional Tibetan culture and monasteries.",Cultural,Muktinath,2500,"Pilgrimage, Cultural Tours",May to October,4
Destination 103,"Popular trekking destination along the Annapurna Circuit.",Adventure,Annapurna Base Camp,5500,"Trekking, Camping",September to November,10
Destination 104,"Sacred Hindu temple complex beside the Bagmati River.",Religious,Kathmandu,1200,"Pilgrimage, Cultural Visit",February to April,1
Destination 105,"National park rich in biodiversity including Bengal tigers.",Wildlife,Chitwan,4500,"Safari, Wildlife Watching",October to March,3
Destination 106,"Peaceful lakeside spot ideal for boating and nature walks.",Nature,Phewa Lake,3200,"Boating, Birdwatching",September to November,2
Destination 107,"UNESCO heritage site and birthplace of Buddha.",Religious,Lumbini,2000,"Pilgrimage, Meditation",October to December,2
Destination 108,"Hill station offering scenic trekking routes and waterfalls.",Nature,Dhulikhel,1900,"Hiking, Sightseeing",March to May,2
Destination 109,"Vibrant market town known for local crafts and festivals.",Cultural,Janakpur,1600,"Shopping, Festivals",November to February,1
Destination 110,"Mountain town gateway to Mustang region with stunning landscapes.",Nature,Jomsom,4000,"Trekking, Photography",March to May,5
Destination 111,"Ancient palace complex with rich history and architecture.",Cultural,Kathmandu Durbar Square,1500,"Sightseeing, Photography",October to December,1
Destination 112,"Thrilling white-water rafting spot on the Trishuli River.",Adventure,Trishuli,2700,"Rafting, Camping",September to November,2
Destination 113,"Village famous for traditional Tharu culture and homestays.",Cultural,Tharu Village,2200,"Cultural Tours, Wildlife",October to March,2
Destination 114,"Hilltop temple offering panoramic views of Kathmandu valley.",Religious,Swayambhunath,1300,"Pilgrimage, Sightseeing",February to April,1
Destination 115,"Picturesque valley known for its apple orchards and trekking.",Nature,Palpa,2800,"Trekking, Photography",March to May,3
Destination 116,"National park with rhinos, elephants and jungle safaris.",Wildlife,Parsa,4300,"Safari, Wildlife Watching",November to February,3
Destination 117,"Remote trekking village famous for ancient monasteries.",Cultural,Dolpo,6000,"Trekking, Cultural Tours",May to October,12
Destination 118,"Hill station famous for its medicinal herbs and hikes.",Nature,Tansen,2000,"Hiking, Sightseeing",March to May,2
Destination 119,"Sacred Buddhist site with ancient stupas and monasteries.",Religious,Boudhanath,1400,"Pilgrimage, Cultural Tours",October to December,1
Destination 120,"Adventure hub for paragliding over scenic hills and lakes.",Adventure,Pokhara,3500,"Paragliding, Boating",September to November,3
Destination 121,"Mountain village known for unique Tibetan culture and trekking.",Cultural,Upper Mustang,5500,"Trekking, Cultural Tours",March to May,10
Destination 122,"Lush forest reserve home to rare bird species and rhinos.",Wildlife,Bardiya,4200,"Safari, Birdwatching",October to March,3
Destination 123,"Hilltop fortress town with panoramic views of the Himalayas.",Cultural,Bandipur,2300,"Sightseeing, Photography",September to November,2
Destination 124,"Scenic valley with hot springs and trekking trails.",Nature,Manang,3700,"Trekking, Hot Springs",May to October,5
Destination 125,"Historic temple complex with elaborate carvings and statues.",Religious,Pashupatinath,1300,"Pilgrimage, Cultural Visit",February to April,1
Destination 126,"Popular trekking route featuring rhododendron forests.",Adventure,Langtang,4800,"Trekking, Wildlife Watching",March to May,8
Destination 127,"Cultural town known for traditional Newari art and festivals.",Cultural,Patan,1700,"Sightseeing, Festivals",October to December,1
Destination 128,"National park with dense forests and endangered species.",Wildlife,Shuklaphanta,4000,"Safari, Birdwatching",November to February,3
Destination 129,"Hill station with waterfalls and panoramic mountain views.",Nature,Banepa,2100,"Hiking, Sightseeing",March to May,2
Destination 130,"Remote monastery with spectacular mountain backdrop.",Religious,Thyangboche,3200,"Pilgrimage, Trekking",April to June,4
Destination 131,"Adventure sports hub for canyoning and river rafting.",Adventure,Sunkoshi,2800,"Rafting, Canyoning",September to November,3
Destination 132,"Ancient city with preserved medieval temples and streets.",Cultural,Bhaktapur,1600,"Sightseeing, Photography",October to December,2
Destination 133,"Nature reserve famous for migratory birds and wetlands.",Wildlife,Phulchoki,1900,"Birdwatching, Hiking",February to April,2
Destination 134,"Hill town known for scenic treks and apple orchards.",Nature,Palpa,2500,"Trekking, Sightseeing",March to May,3
Destination 135,"Buddhist pilgrimage site with vibrant festivals.",Religious,Muktinath,2700,"Pilgrimage, Cultural Tours",May to October,3
Destination 136,"Popular spot for mountain biking and hiking trails.",Adventure,Chisapani,2100,"Mountain Biking, Hiking",September to November,3
Destination 137,"Heritage town with traditional crafts and markets.",Cultural,Kirtipur,1500,"Shopping, Sightseeing",October to December,1
Destination 138,"Wildlife sanctuary known for elephants and rhinos.",Wildlife,Chitwan,4200,"Safari, Wildlife Watching",October to March,3
Destination 139,"Lakeside town with boating and paragliding activities.",Nature,Pokhara,3500,"Boating, Paragliding",September to November,3
Destination 140,"Remote trekking village with ancient monasteries and caves.",Cultural,Dolpo,6000,"Trekking, Cultural Tours",May to October,12
Destination 141,"Hill station famous for medicinal herbs and hot springs.",Nature,Tansen,2000,"Hiking, Hot Springs",March to May,2
Destination 142,"Sacred temple complex with rich Hindu rituals.",Religious,Pashupatinath,1300,"Pilgrimage, Cultural Visit",February to April,1
Destination 143,"Adventure destination for paragliding and mountain biking.",Adventure,Pokhara,3700,"Paragliding, Mountain Biking",September to November,3
Destination 144,"Historical city with palaces, temples and museums.",Cultural,Kathmandu,1500,"Sightseeing, Museums",October to December,1
Destination 145,"National park with rich flora and fauna, including tigers.",Wildlife,Chitwan,4500,"Safari, Wildlife Photography",October to March,3
Destination 146,"Mountain village gateway to Annapurna trekking routes.",Nature,Jomsom,4000,"Trekking, Photography",March to May,5
Destination 147,"Hill station with waterfalls and forest trails.",Nature,Dhulikhel,1900,"Hiking, Sightseeing",March to May,2
Destination 148,"Buddhist monastery with spectacular Himalayan views.",Religious,Thyangboche,3200,"Pilgrimage, Trekking",April to June,4
Destination 149,"River rafting hotspot with scenic mountainous surroundings.",Adventure,Trishuli,2700,"Rafting, Camping",September to November,2
Destination 150,"Peaceful town with rich Newari culture and ancient temples.",Cultural,Kirtipur,1700,"Sightseeing, Cultural Tours",October to December,2
Destination 151,"Scenic mountain valley with alpine meadows and lakes.",Nature,Gosaikunda,3800,"Trekking, Camping",May to October,5
Destination 152,"Adventure hotspot for ziplining and canyoning.",Adventure,Bungamati,2900,"Ziplining, Canyoning",September to November,2
Destination 153,"Ancient Buddhist monastery perched on a cliff.",Religious,Namo Buddha,2800,"Pilgrimage, Hiking",March to May,3
Destination 154,"Wildlife reserve home to rare bird species and rhinos.",Wildlife,Bardiya,4200,"Safari, Birdwatching",October to March,3
Destination 155,"Hill station famous for organic farms and homestays.",Nature,Ilām,2200,"Hiking, Farm Visits",March to May,3
Destination 156,"Village known for traditional wood carvings and temples.",Cultural,Dhulikhel,1800,"Sightseeing, Cultural Tours",October to December,2
Destination 157,"Mountain village gateway to the Manaslu trekking route.",Adventure,Arughat,4600,"Trekking, Cultural Tours",March to May,7
Destination 158,"Sacred Hindu temple with vibrant festivals and rituals.",Religious,Janakpur,1500,"Pilgrimage, Festivals",November to February,1
Destination 159,"National park with diverse flora and fauna including elephants.",Wildlife,Shuklaphanta,4100,"Safari, Wildlife Watching",November to February,3
Destination 160,"Popular hill station with tea gardens and hiking trails.",Nature,Panauti,2300,"Hiking, Sightseeing",March to May,2
Destination 161,"Ancient town with traditional Newari architecture and festivals.",Cultural,Bhaktapur,1700,"Festivals, Sightseeing",October to December,2
Destination 162,"Remote monastery known for its unique architecture.",Religious,Pharping,2600,"Pilgrimage, Trekking",February to April,3
Destination 163,"Adventure destination with mountain biking and rock climbing.",Adventure,Chisapani,2400,"Mountain Biking, Rock Climbing",September to November,3
Destination 164,"Wildlife sanctuary known for its elephant population.",Wildlife,Chitwan,4200,"Safari, Wildlife Watching",October to March,3
Destination 165,"Hill station with panoramic views and trekking routes.",Nature,Banepa,2100,"Hiking, Sightseeing",March to May,2
Destination 166,"Buddhist pilgrimage site with serene meditation centers.",Religious,Lumbini,2000,"Pilgrimage, Meditation",October to December,2
Destination 167,"Ancient palace and museum complex showcasing Nepalese history.",Cultural,Kathmandu,1600,"Museums, Sightseeing",October to December,1
Destination 168,"Popular spot for white-water rafting and camping.",Adventure,Sunkoshi,2800,"Rafting, Camping",September to November,3
Destination 169,"Village famous for traditional Tharu culture and wildlife.",Cultural,Tharu Village,2300,"Cultural Tours, Wildlife",October to March,2
Destination 170,"Hilltop temple with views over Kathmandu valley.",Religious,Swayambhunath,1300,"Pilgrimage, Sightseeing",February to April,1
Destination 171,"Mountain valley known for apple orchards and scenic treks.",Nature,Palpa,2800,"Trekking, Photography",March to May,3
Destination 172,"National park with rhinos, elephants and jungle safaris.",Wildlife,Parsa,4300,"Safari, Wildlife Watching",November to February,3
Destination 173,"Remote trekking village with ancient monasteries.",Cultural,Dolpo,6000,"Trekking, Cultural Tours",May to October,12
Destination 174,"Hill station famous for medicinal herbs and hikes.",Nature,Tansen,2000,"Hiking, Sightseeing",March to May,2
Destination 175,"Sacred Buddhist site with ancient stupas and monasteries.",Religious,Boudhanath,1400,"Pilgrimage, Cultural Tours",October to December,1
Destination 176,"Adventure hub for paragliding over scenic hills and lakes.",Adventure,Pokhara,3500,"Paragliding, Boating",September to November,3
Destination 177,"Mountain village known for unique Tibetan culture and trekking.",Cultural,Upper Mustang,5500,"Trekking, Cultural Tours",March to May,10
Destination 178,"Lush forest reserve home to rare bird species and rhinos.",Wildlife,Bardiya,4200,"Safari, Birdwatching",October to March,3
Destination 179,"Hilltop fortress town with panoramic views of the Himalayas.",Cultural,Bandipur,2300,"Sightseeing, Photography",September to November,2
Destination 180,"Scenic valley with hot springs and trekking trails.",Nature,Manang,3700,"Trekking, Hot Springs",May to October,5
Destination 181,"Historic temple complex with elaborate carvings and statues.",Religious,Pashupatinath,1300,"Pilgrimage, Cultural Visit",February to April,1
Destination 182,"Popular trekking route featuring rhododendron forests.",Adventure,Langtang,4800,"Trekking, Wildlife Watching",March to May,8
Destination 183,"Cultural town known for traditional Newari art and festivals.",Cultural,Patan,1700,"Sightseeing, Festivals",October to December,1
Destination 184,"National park with dense forests and endangered species.",Wildlife,Shuklaphanta,4000,"Safari, Birdwatching",November to February,3
Destination 185,"Hill station with waterfalls and panoramic mountain views.",Nature,Banepa,2100,"Hiking, Sightseeing",March to May,2
Destination 186,"Remote monastery with spectacular mountain backdrop.",Religious,Thyangboche,3200,"Pilgrimage, Trekking",April to June,4
Destination 187,"Adventure sports hub for canyoning and river rafting.",Adventure,Sunkoshi,2800,"Rafting, Canyoning",September to November,3
Destination 188,"Ancient city with preserved medieval temples and streets.",Cultural,Bhaktapur,1600,"Sightseeing, Photography",October to December,2
Destination 189,"Nature reserve famous for migratory birds and wetlands.",Wildlife,Phulchoki,1900,"Birdwatching, Hiking",February to April,2
Destination 190,"Hill town known for scenic treks and apple orchards.",Nature,Palpa,2500,"Trekking, Sightseeing",March to May,3
Destination 191,"Buddhist pilgrimage site with vibrant festivals.",Religious,Muktinath,2700,"Pilgrimage, Cultural Tours",May to October,3
Destination 192,"Popular spot for mountain biking and hiking trails.",Adventure,Chisapani,2100,"Mountain Biking, Hiking",September to November,3
Destination 193,"Heritage town with traditional crafts and markets.",Cultural,Kirtipur,1500,"Shopping, Sightseeing",October to December,1
Destination 194,"Wildlife sanctuary known for elephants and rhinos.",Wildlife,Chitwan,4200,"Safari, Wildlife Watching",October to March,3
Destination 195,"Lakeside town with boating and paragliding activities.",Nature,Pokhara,3500,"Boating, Paragliding",September to November,3
Destination 196,"Remote trekking village with ancient monasteries and caves.",Cultural,Dolpo,6000,"Trekking, Cultural Tours",May to October,12
Destination 197,"Hill station famous for medicinal herbs and hot springs.",Nature,Tansen,2000,"Hiking, Hot Springs",March to May,2
Destination 198,"Sacred temple complex with rich Hindu rituals.",Religious,Pashupatinath,1300,"Pilgrimage, Cultural Visit",February to April,1
Destination 199,"Adventure destination for paragliding and mountain biking.",Adventure,Pokhara,3700,"Paragliding, Mountain Biking",September to November,3
Destination 200,"Historical city with palaces, temples and museums.",Cultural,Kathmandu,1500,"Sightseeing, Museums",October to December,1
